trip_id,origin_airport,destination,destination_airport,seats,return_flight_booked,departure_time,return_time,checked_bags,trip_airline,destination_airport_lat,destination_airport_lon,base_fare_usd,cancelled,origin_airport_lat,origin_airport_lon,total_flight_price,trip_duration,flight_distance_km,cents_per_km_flown,weekdays_in_trip,weekends_in_trip
659128-a02f1af346a34ee7be3a82d80e928e71,JFK,los angeles,LAX,1,True,2023-03-31 07:00:00,2023-04-03 07:00:00,1,American Airlines,33.942,-118.408,733.29,False,40.639928,-73.778692,733.29,3.0,3982.9798094071043,18.410587928869155,1.0,2.0
660110-a521aaa10fc743949e550a4e25ef9371,DAL,calgary,YYC,1,True,2023-03-27 10:00:00,2023-03-30 10:00:00,0,American Airlines,51.114,-114.02,473.26,False,32.845945,-96.850877,473.26,3.0,2464.9340518849654,19.199702305953878,3.0,0.0
671975-ea02de0e3de34d4db2ded1f25145c73f,YEG,hamilton,YHM,1,True,2023-03-30 09:00:00,2023-04-06 09:00:00,0,WestJet,43.173,-79.935,466.29,False,53.3097,-113.58,466.29,7.0,2708.773511569413,17.214063782314536,5.0,2.0
673076-9acf770825e54c3d949a86212aceca2a,JFK,toronto,YKZ,1,True,2023-03-28 12:00:00,2023-03-31 12:00:00,2,Ryanair,43.862,-79.37,97.44,False,40.639928,-73.778692,97.44,3.0,583.720774426729,16.692912822178656,3.0,0.0
678888-77678475452d4b44a8fb38c366a950ca,TNT,san antonio,SVZ,3,True,2023-03-28 08:00:00,2023-03-31 08:00:00,1,Conviasa,29.529,-98.279,952.52,False,25.861806,-80.897,2857.56,3.0,1760.0990875738637,54.11740774850137,3.0,0.0
684806-ec210c20d89345ddbfde9f759647d02d,DAL,washington,IAD,3,True,2023-03-28 09:00:00,2023-03-30 09:00:00,0,United Airlines,38.852,-77.037,990.98,False,32.845945,-96.850877,2972.94,2.0,1905.0584114681333,52.01835251005775,2.0,0.0
226367-0c1be8e577e34f2991d2826b366683ed,IAD,los angeles,LAX,1,True,2023-03-30 07:00:00,2023-04-02 07:00:00,1,AirTran Airways,33.942,-118.408,621.31,False,38.947456,-77.459929,621.31,3.0,3681.7638020615796,16.87533566526189,2.0,1.0
438189-7c1cf47f1e824abba2ead8059df2b0c5,FTW,memphis,MEM,1,True,2023-03-30 15:00:00,2023-04-04 15:00:00,0,American Airlines,35.042,-89.977,123.99,False,32.81977,-97.36245,123.99,5.0,725.7482843441612,17.08443584018202,3.0,2.0
487101-69d63916158747199938173300a764a4,YOW,boston,BOS,2,True,2023-03-30 07:00:00,2023-04-01 07:00:00,0,Alaska Airlines,42.364,-71.005,178.97,False,45.3225,-75.6692,357.94,2.0,498.5832368982279,35.89571143895715,2.0,0.0
488827-0056fe514e44488c9904cc2a8ef6dbd2,SKF,los angeles,LAX,1,True,2023-04-03 12:00:00,2023-04-12 12:00:00,0,American Airlines,33.942,-118.408,354.0,False,29.384233,-98.581117,354.0,9.0,1943.505457451206,18.214510211062148,7.0,2.0
508877-16a0dba9976e4818bbe1aa0dd1be3070,PHX,new york,LGA,2,True,2023-03-28 14:00:00,2023-04-06 14:00:00,2,Delta Air Lines,40.64,-73.779,1206.4,False,33.434278,-112.011583,2412.8,9.0,3465.3593418859414,34.81312848044916,7.0,2.0
510067-a7c4c02dd3044ff4a03bdab4a30ea635,LGA,houston,EFD,1,True,2023-03-31 10:00:00,2023-04-02 10:00:00,0,American Airlines,29.607,-95.159,376.43,False,40.777242,-73.872606,376.43,2.0,2291.2664767038436,16.428905316221552,1.0,1.0
510134-d82db04617a44e4286f98b689bfad848,EWR,charlotte,CLT,1,True,2023-03-31 13:00:00,2023-04-04 13:00:00,1,JetBlue Airways,35.214,-80.943,153.97,False,40.692481,-74.168688,153.97,4.0,850.4884969387984,18.10371340167341,2.0,2.0
513259-f651c64b764640cb95e85dff614a4032,SEA,san antonio,RND,1,True,2023-04-03 13:00:00,2023-04-08 13:00:00,0,United Airlines,29.529,-98.279,508.1,False,47.449889,-122.311778,508.1,5.0,2867.768682343545,17.7176075297949,5.0,0.0
513853-97c2222fd2cb457b98c1d78e4a581836,SFO,san jose,SJI,1,True,2023-04-07 15:00:00,2023-04-13 15:00:00,0,Cebu Pacific,37.362,-121.929,8.72,False,37.618806,-122.375417,8.72,6.0,48.69295239206847,17.90813571908281,4.0,2.0
514867-bf4f9cd70e7c4331996f9546be57d25a,DEN,los angeles,LAX,1,True,2023-03-29 07:00:00,2023-04-03 07:00:00,1,Volaris,33.942,-118.408,240.51,False,39.861667,-104.673167,240.51,5.0,1387.0389219292374,17.33981622271088,3.0,2.0
516351-f026c54cbb254faba982981520ef33a5,OFF,memphis,MEM,1,True,2023-03-31 08:00:00,2023-04-04 08:00:00,1,Delta Air Lines,35.042,-89.977,151.82,False,41.119329,-95.908517,151.82,4.0,851.5037813571515,17.829633094291708,2.0,2.0
516732-d0a9518e7b0247c6be8dfcfb6912dfb5,LGA,san antonio,SAT,1,True,2023-03-28 14:00:00,2023-04-03 14:00:00,0,AirTran Airways,29.529,-98.279,460.24,False,40.777242,-73.872606,460.24,6.0,2537.3455225277316,18.138641186774745,4.0,2.0
517150-2a71e129f462495e91d85e8da550a9ee,CMH,los angeles,LSQ,1,True,2023-04-03 14:00:00,2023-04-06 14:00:00,1,Ryanair,33.942,-118.408,562.59,False,39.996947,-82.892159,562.59,3.0,3210.931393884663,17.521084414057345,3.0,0.0
517776-66799c8be5954d0e90b803433c7fc29d,HNL,philadelphia,PHL,1,True,2023-04-02 07:00:00,2023-04-05 07:00:00,1,JetBlue Airways,39.872,-75.241,1334.32,False,21.317825,-157.92025,1334.32,3.0,7917.20110616528,16.853430677173765,2.0,1.0
519664-a307ee3e28a34347a6f870177626faed,RAL,los angeles,LSQ,1,True,2023-04-02 15:00:00,2023-04-14 15:00:00,1,United Airlines,33.942,-118.408,16.06,False,33.951889,-117.445111,16.06,12.0,89.01799265631672,18.041296507330735,9.0,3.0
521186-7913bc0e6d4543dd924d95856e04e706,BOS,vancouver,YVR,1,True,2023-03-31 11:00:00,2023-04-08 11:00:00,0,Air Canada,49.195,-123.182,680.76,False,42.362944,-71.006389,680.76,8.0,4044.9582342000886,16.829840027622037,6.0,2.0
